Name,PClass,Age,Sex,Survived,Family,Title
"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1,3,1,1,1,2
"Chambers, Mr Norman Campbell",1,2,0,1,1,2
"Chambers, Mrs Norman Campbell (Bertha Griggs)",1,3,1,1,1,2
"Cherry, Miss Gladys",1,3,1,1,0,2
"Chevre, Mr Paul",1,3,0,1,0,2
"Chibnall (Bowerman), Mrs Edith Martha",1,3,1,1,0,2
"Chisholm, Mr Roderick Robert",1,3,0,0,0,2
"Clark, Mr Walter Miller",1,2,0,0,1,2
"Clark, Mrs Walter Miller (Virginia McDowell)",1,2,1,1,1,2
"Clifford, Mr George Quincy",1,3,0,0,0,2
"Colley, Mr Edward Pomeroy",1,3,0,0,0,1
"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1,4,1,1,1,2
"Compton, Mr Alexander Taylor, Jr",1,3,0,0,1,2
"Compton, Miss Sara Rebecca",1,3,1,1,1,2
"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1,3,1,1,0,2
"Crafton, Mr John Bertram",1,3,0,0,0,2
"Crosby, Captain Edward Gifford",1,4,0,0,1,1
"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",1,4,1,1,1,2
"Crosby, Miss Harriet R",1,3,1,1,1,2
"Cumings, Mr John Bradley",1,3,0,0,1,2
"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1,3,1,1,1,2
"Daly, Mr Peter Denis ",1,3,0,1,0,2
"Daniel, Mr Robert Williams",1,2,0,1,0,2
"Davidson, Mr Thornton",1,3,0,0,1,2
"Davidson, Mrs Thornton (Orian Hays)",1,2,1,1,1,2
"de Villiers, Madame Berthe",1,3,1,1,0,1
"Dick, Mr Albert Adrian",1,3,0,1,1,2
"Dick, Mrs Albert Adrian Vera Gillespie",1,2,1,1,1,2
"Dodge, Dr Washington",1,3,0,1,1,1
"Dodge, Mrs Washington (Ruth Vidaver)",1,3,1,1,1,2
"Dodge, Master Washington",1,1,0,1,1,2
"Douglas, Mrs Frederick Charles (Suzette Baxter)",1,2,1,1,1,2
"Douglas, Mr Walter Donald",1,3,0,0,1,2
"Douglas, Mrs Walter Donald (Mahala Dutton)",1,3,1,1,1,2
"Duff Gordon, Sir Cosmo Edmund",1,3,0,1,1,1
"Duff Gordon, Lady (Lucille Wallace Sutherland)",1,3,1,1,1,1
"Dulles, Mr William Crothers",1,3,0,0,0,2
"Earnshaw, Mrs Boulton (Olive Potter)",1,2,1,1,0,2
"Eustis, Miss Elizabeth Mussey",1,3,1,1,0,2
"Evans, Miss Edith Corse",1,3,1,0,0,2
"Flegenheim, Mrs Alfred (Antoinette)",1,3,1,1,0,2
"Flynn, Mr John Irving",1,3,0,1,0,2
"Foreman, Mr Benjamin Laventall",1,2,0,0,0,2
"Fortune, Miss Alice Elizabeth",1,2,1,1,1,2
"Fortune, Mr Charles Alexander",1,2,0,0,1,2
"Fortune, Miss Ethel Flora",1,2,1,1,1,2
"Fortune, Miss Mabel",1,2,1,1,1,2
"Fortune, Mr Mark",1,4,0,0,1,2
"Fortune, Mrs Mark (Mary McDougald)",1,3,1,1,1,2
"Franklin, Mr Thomas Parham",1,3,0,0,0,2
"Frauenthal, Dr Henry William",1,3,0,1,1,1
"Frauenthal, Mrs Henry William (Clara Heinsheimer)",1,3,1,1,1,2
"Frauenthal, Mr Isaac Gerald",1,3,0,1,1,2
"Frolicher, Miss Marguerite",1,2,1,1,0,2
"Frolicher-Stehli, Mr Maxmillian",1,3,0,1,1,2
"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",1,3,1,1,1,2
"Futrelle, Mr Jacques",1,3,0,0,1,2
"Futrelle, Mrs Jacques (May Peel)",1,3,1,1,1,2
"Gee, Mr Arthur H",1,3,0,0,0,2
"Gibson, Miss Dorothy",1,2,1,1,1,2
"Gibson, Mrs Leonard (Pauline C Boeson)",1,3,1,1,1,2
"Goldenberg, Mr Samuel L",1,3,0,1,1,2
"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)",1,3,1,1,1,2
"Goldschmidt, Mr George B",1,4,0,0,0,2
"Gracie, Colonel Archibald IV",1,3,0,1,0,1
"Graham, Mr George Edward",1,3,0,0,1,2
"Graham, Miss Margaret Edith",1,2,1,1,1,2
"Graham, Mrs William Thompson (Edith Junkins)",1,3,1,1,1,2
"Greenfield, Mrs Leo David (Blanche Strouse)",1,3,1,1,1,2
"Greenfield, Mr William Bertram",1,2,0,1,1,2
"Guggenheim, Mr Benjamin",1,3,0,0,0,2
"Harder, Mr George Achilles",1,2,0,1,1,2
"Harder, Mrs George Achilles (Dorothy Annan)",1,2,1,1,1,2
"Harper, Mr Henry Sleeper",1,3,0,1,1,2
"Harper, Mrs Henry Sleeper (Myna Haxtun)",1,3,1,1,1,2
"Harris, Mr Henry Birkhardt",1,3,0,0,1,2
"Harris, Mrs Henry Birkhardt (Irene Wallach)",1,3,1,1,1,2
"Hawksford, Mr Walter James",1,3,0,1,0,2
"Hays, Mr Charles Melville",1,3,0,0,1,2
"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1,3,1,1,1,2
"Hays, Miss Margaret Bechstein",1,2,1,1,1,2
"Head, Mr Christopher",1,3,0,0,0,2
"Hilliard, Mr Herbert Henry",1,3,0,0,0,2
"Hipkins, Mr William Edward",1,3,0,0,0,2
"Hippach, Miss Jean Gertrude",1,2,1,1,1,2
"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1,3,1,1,1,2
"Hogeboom, Mrs John C (Anna Andrews)",1,3,1,1,0,2
"Holverson, Mr Alexander Oskar",1,3,0,0,1,2
"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1,3,1,1,1,2
"Homer, Mr Harry",1,3,0,1,0,2
"Hoyt, Mr Frederick Maxfield",1,3,0,1,1,2
"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1,3,1,1,1,2
"Hoyt, Mr William F",1,3,0,0,1,2
"Isham, Miss Anne Elizabeth",1,3,1,0,0,2
"Ismay, Mr Joseph Bruce",1,3,0,1,0,2
"Jones, Mr Charles Cresson",1,3,0,0,0,2
"Julian, Mr Henry Forbes",1,3,0,0,0,2
"Kent, Mr Edward Austin",1,3,0,0,0,2
"Kenyon, Mr Frederick R",1,3,0,0,1,2
"Kenyon, Mrs Frederick R (Marion)",1,3,1,1,1,2
"Kimball, Mr Edwin Nelson Jr",1,3,0,1,1,2
"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1,3,1,1,1,2
"Klaber, Mr Herman",1,3,0,0,0,2
"Leader, Dr Alice Farnham",1,3,1,1,0,1
"Lewy, Mr Ervin G",1,3,0,0,0,2
"Lindeberg-Lind, Mr Erik Gustaf",1,3,0,0,0,2
"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1,3,1,1,0,2
"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1,3,1,1,1,2
"Lines, Miss Mary Conover",1,2,1,1,1,2
"Lingrey, Mr Edward",1,3,0,0,0,2
"Long, Mr Milton Clyde",1,2,0,0,0,2
"Longley, Miss Gretchen Fiske",1,2,1,1,0,2
"Loring, Mr Joseph Holland",1,2,0,0,0,2
"Madill, Miss Georgette Alexandra",1,1,1,1,0,2
"Maguire, Mr John Edward",1,2,0,0,0,2
"Marechal, Mr Pierre",1,3,0,1,0,2
"Marvin, Mr Daniel Warner",1,3,0,0,1,2
"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",1,3,1,1,1,2
"McCaffry, Mr Thomas Francis",1,3,0,0,0,2
"McCarthy, Mr Timothy J",1,3,0,0,0,2
"McGough, Mr James R",1,3,0,1,0,2
"Meyer, Mr Edgar Joseph",1,2,0,0,1,2
"Meyer, Mrs Edgar Joseph (Leila Saks)",1,2,1,1,1,2
"Millet, Mr Francis Davis",1,4,0,0,0,2
"Minahan, Miss Daisy E",1,3,1,1,1,2
"Minahan, Dr William Edward",1,3,0,0,1,1
"Minahan, Mrs William Edward (Lillian E Thorpe)",1,3,1,1,1,2
"Mock, Mr Philip E",1,3,0,1,0,2
"Molson, Mr Harry Markland",1,3,0,0,0,2
"Moore, Mr Clarence Bloomfield",1,3,0,0,0,2
"Natsch, Mr Charles H",1,3,0,0,0,2
"Newell, Mr Arthur Webster",1,3,0,0,1,2
"Newell, Miss Madeleine",1,3,1,1,1,2
"Newell, Miss Marjorie",1,2,1,1,1,2
"Newsom, Miss Helen Monypeny",1,2,1,1,0,2
"Nicholson, Mr Arthur Ernest",1,4,0,0,0,2
"Omont, Mr A Fernand",1,3,0,1,0,2
"Ostby, Mr Engelhart Cornelius",1,4,0,0,1,2
"Ostby, Miss Helen Raghnild",1,2,1,1,1,2
"Ovies y Rodriguez, Mr Servando",1,2,0,0,0,2
"Parr, Mr William Henry Marsh",1,3,0,0,0,2
"Partner, Mr Austin",1,3,0,0,0,2
"Payne, Mr Vivian Ponsonby",1,2,0,0,0,2
"Pears, Mr Thomas",1,3,0,0,1,2
"Pears, Mrs Thomas (Edith)",1,3,1,1,1,2
"Penasco, Mr Victor de Satode",1,2,0,0,1,2
"Penasco, Mrs Victor de Satode (Josefa de Soto)",1,2,1,1,1,2
"Peuchen, Major Arthur Godfrey",1,3,0,1,0,1
"Porter, Mr Walter Chamberlain",1,3,0,0,0,2
"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1,3,1,1,0,2
"Reuchlin, Jonkheer John George",1,3,0,0,0,3
"Rheims, Mr George Lucien",1,3,0,1,0,2
"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1,3,1,1,0,2
"Roebling, Mr Washington Augustus 2nd",1,3,0,0,0,2
"Romaine, Mr Charles Hallace",1,3,0,1,0,2
"Rood, Mr Hugh R",1,3,0,0,0,2
"Rosenbaum (Russell), Miss Edith Louise",1,3,1,1,0,2
"Ross, Mr John Hugo",1,3,0,0,0,2
"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1,2,1,1,0,1
"Rothschild, Mr Martin",1,3,0,0,1,2
"Rothschild, Mrs Martin (Elizabeth L Barrett)",1,3,1,1,1,2
"Rowe, Mr Alfred G",1,3,0,0,0,2
"Ryerson, Mr Arthur Larned",1,4,0,0,1,2
"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1,3,1,1,1,2
"Ryerson, Miss Emily Borie",1,2,1,1,1,2
"Ryerson, Master John Borie",1,1,0,1,1,2
"Ryerson, Miss Susan (Suzette) Parker",1,2,1,1,1,2
"Saalfeld, Mr Adolphe",1,3,0,1,0,2
"Salomon, Mr Abraham L",1,3,0,1,0,2
"Schabert, Mrs Paul (Emma Mock)",1,3,1,1,0,2
"Seward, Mr Frederic Kimber",1,3,0,1,0,2
"Shutes, Miss Elizabeth W",1,3,1,1,0,2
"Silverthorne, Mr Spencer Victor",1,3,0,1,0,2
"Silvey, Mr William Baird",1,3,0,0,1,2
"Silvey, Mrs William Baird (Alice Munger)",1,3,1,1,1,2
"Simonius-Blumer, Col Alfons",1,3,0,1,0,1
"Sloper, Mr William Thompson",1,2,0,1,0,2
"Smart, Mr John Montgomery",1,3,0,0,0,2
"Smith, Mr James Clinch",1,3,0,0,1,2
"Smith, Mr Lucien Philip",1,2,0,0,1,2
"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1,2,1,1,1,2
"Smith, Mr Richard William",1,3,0,0,1,2
"Snyder, Mr John Pillsbury",1,2,0,1,1,2
"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1,2,1,1,1,2
"Spedden, Mr Frederick Oakley",1,3,0,1,1,2
"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1,3,1,1,1,2
"Spedden, Master Robert Douglas",1,1,0,1,1,2
"Spencer, Mr William Augustus",1,3,0,0,1,2
"Spencer, Mrs William Augustus (Marie Eugenie)",1,3,1,1,1,2
"Staehlin, Dr Max",1,3,0,1,0,1
"Stead, Mr William Thomas",1,4,0,0,0,2
"Stengel, Mr Charles Emil Henry",1,3,0,1,1,2
"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1,3,1,1,1,2
"Stephenson, Mrs Walter Bertram (Martha Eustis)",1,3,1,1,0,2
"Stewart, Mr Albert A",1,3,0,0,0,2
"Stone, Mrs George Nelson (Martha E)",1,4,1,1,0,2
"Straus, Mr Isidor",1,4,0,0,1,2
"Straus, Mrs Isidor (Ida Blun)",1,4,1,0,1,2
"Sutton, Mr Frederick",1,4,0,0,0,2
"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1,3,1,1,0,2
"Taussig, Mr Emil",1,3,0,0,1,2
"Taussig, Mrs Emil (Tillie Mandelbaum)",1,3,1,1,1,2
"Taussig, Miss Ruth",1,2,1,1,1,2
"Taylor, Mr Elmer Zebley",1,3,0,1,1,2
"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",1,3,1,1,1,2
"Thayer, Mr John Borland",1,3,0,0,1,2
"Thayer, Mrs John Borland (Marian Longstreth Morris)",1,3,1,1,1,2
"Thayer, Mr John Borland, jr",1,2,0,1,1,2
"Thorne, Mr George (alias of: Mr George Rosenshine)",1,3,0,0,1,2
"Thorne, Mrs Gertrude Maybelle",1,3,1,1,1,2
"Tucker, Mr Gilbert Milligan, jr",1,3,0,1,0,2
"Uruchurtu, Mr Manuel E",1,3,0,0,0,2
"Van Derhoef, Mr Wyckoff",1,4,0,0,0,2
"Walker, Mr William Anderson",1,3,0,0,0,2
"Warren, Mr Frank Manley",1,4,0,0,1,2
"Warren, Mrs Frank Manley (Anna S Atkinson)",1,3,1,1,1,2
"Weir, Col John",1,3,0,0,0,1
"White, Mrs J Stuart (Ella Holmes)",1,3,1,1,1,2
"White, Mr Percival Wayland",1,3,0,0,1,2
"White, Mr Richard Frasar",1,2,0,0,1,2
"Wick, Mr George Dennick",1,3,0,0,1,2
"Wick, Mrs George Dennick (Martha Hitchcock)",1,3,1,1,1,2
"Wick, Miss Mary Natalie",1,3,1,1,1,2
"Widener, Mr George Dunton",1,3,0,0,1,2
"Widener, Mrs George Dunton (Eleanor Elkins)",1,3,1,1,1,2
"Widener, Mr Harry Elkins",1,2,0,0,1,2
"Willard, Miss Constance",1,2,1,1,0,2
"Williams, Mr Charles Duane",1,3,0,0,1,2
"Williams, Mr Fletcher Lambert",1,3,0,0,1,2
"Williams, Mr Richard Norris II",1,2,0,1,1,2
"Woolner, Mr Hugh",1,3,0,1,0,2
"Wright, Mr George",1,3,0,0,0,2
"Young, Miss Marie Grice",1,3,1,1,0,2
"Barber, Ms ",1,3,1,1,0,2
"Bazzani, Ms Albina",1,3,1,1,0,2
"Bidois, Miss Rosalie",1,3,1,1,0,2
"Bird, Ms Ellen",1,3,1,1,0,2
"Bissetti, Ms Amelia",1,3,1,1,0,2
"Burns, Ms Elizabeth Margaret",1,3,1,1,0,2
"Chaudanson, Ms         Victorine",1,3,1,1,0,2
"Cleaver, Ms Alice",1,3,1,1,0,2
"Daniels, Ms Sarah",1,3,1,1,0,2
"Endres, Miss Caroline Louise",1,3,1,1,0,2
"Farthing, Mr John",1,3,0,0,0,2
"Fleming, Ms Margaret",1,3,1,0,0,2
"Francatelli, Ms Laura Mabel",1,3,1,1,0,2
"Fry, Mr Richard",1,3,0,0,0,2
"Geiger, Miss Emily ",1,3,1,1,0,2
"Giglio, Mr Victor",1,3,0,0,0,2
"Harrington, Mr Charles",1,3,0,0,0,2
"Harrison, Mr William   Henry",1,3,0,0,0,2
"Hassah, Mr Hamad",1,3,0,0,0,2
"Icabad (Icabod), Ms",1,3,1,1,0,2
"Keeping, Mr Edwin",1,3,0,0,0,2
"Kenchen, Ms Amelia",1,3,1,1,0,2
"LeRoy, Miss Berthe",1,3,1,1,0,2
"Lesneur, Mr Gustave",1,3,0,0,0,2
"Maloney, Ms",1,3,1,1,0,2
"Oliva, Mlle",1,3,1,0,0,3
"Pericault, Ms",1,3,1,1,0,2
"Ringhini, Mr Sante",1,3,0,0,0,2
"Robbins, Mr Victor",1,3,0,0,0,2
"Segesser, Mlle Emma",1,3,1,1,0,3
"Seredeca, Ms",1,3,1,0,0,2
"Ward, Ms Anna",1,3,1,0,0,2
"Wilson, Ms Helen",1,3,1,1,0,2
"Abelson, Mr Samuel",2,2,0,0,1,2
"Abelson, Mrs Samuel (Anna)",2,2,1,1,1,2
"Andrew, Mr Edgar Samuel",2,2,0,0,1,2
"Andrew, Mr Frank",2,2,0,0,1,2
"Angle, Mr William A",2,3,0,0,1,2
"Angle, Mrs William A (Florence)",2,3,1,1,1,2
"Ashby, Mr John",2,3,0,0,0,2
"Bailey, Mr Percy Andrew",2,2,0,0,0,2
"Baimbrigge, Mr Charles R",2,2,0,0,0,2
"Balls, Mrs Ada E Hall",2,3,1,1,0,2
"Banfield, Mr Frederick J",2,2,0,0,0,2
"Bateman, Rev Robert James",2,3,0,0,0,3
"Beane, Mr Edward",2,3,0,1,1,2
"Beane, Mrs Edward (Ethel Clarke)",2,2,1,1,1,2
"Beauchamp, Mr Henry James",2,2,0,0,0,2
"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2,3,1,1,1,2
"Becker, Miss Marion Louise",2,1,1,1,1,2
"Becker, Master Richard F",2,1,0,1,1,2
"Becker, Miss Ruth Elizabeth",2,1,1,1,1,2
"Beesley, Mr Lawrence",2,3,0,1,0,2
"Bentham, Miss Lilian W",2,2,1,1,0,2
"Berriman, Mr William S",2,2,0,0,0,2
"Botsford, Mr William Hull",2,2,0,0,0,2
"Bowenur, Mr Solomon",2,2,0,0,0,2
"Bracken, Mr James H",2,2,0,0,0,2
"Brown, Miss Edith E",2,1,1,1,1,2
"Brown, Mr Thomas William Solomon",2,3,0,0,1,2
"Brown, Mrs Thomas William Solomon (Elizabeth C)",2,3,1,1,1,2
"Bryhl, Miss Dagmar",2,2,1,1,1,2
"Bryhl, Mr Kurt Arnold Gottfrid",2,2,0,0,1,2
"Buss, Miss Kate",2,3,1,1,0,2
"Butler, Mr Reginald Fenton",2,2,0,0,0,2
"Byles, Rev Thomas Roussel D",2,2,0,0,0,3
"Bystrom, Mrs Carolina",2,3,1,1,0,2
"Caldwell, Mr Albert Francis",2,2,0,1,1,2
"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",2,2,1,1,1,2
"Caldwell, Master Alden Gates",2,1,0,1,1,2
"Cameron, Miss Clear",2,3,1,1,0,2
"Campbell, Mr William",2,2,0,0,0,2
"Carbines, Mr William",2,2,0,0,0,2
"Carter, Rev Ernest Courtenay",2,3,0,0,1,3
"Carter, Mrs Ernest Courtenay (Lillian Hughes)",2,3,1,0,1,2
"Chapman, Mr Charles Henry",2,3,0,0,1,2
"Chapman, Mr John Henry",2,2,0,0,1,2
"Chapman, Mrs John Henry (Elizabeth Lawry)",2,2,1,0,1,2
"Christy, Mrs Alice Frances",2,2,1,1,1,2
"Christy, Miss Julie",2,2,1,1,1,2
"Clarke, Mr Charles V",2,2,0,0,1,2
"Clarke, Mrs Charles V (Ada Maria)",2,2,1,1,1,2
"Coleridge, Mr Reginald Charles",2,2,0,0,0,1
"Collander, Mr Erik",2,2,0,0,0,1
"Collett, Mr Sidney C Stuart",2,2,0,1,0,1
"Collyer, Mr Harvey",2,3,0,0,1,1
"Collyer, Mrs Harvey (Charlotte Tate)",2,3,1,1,1,1
"Collyer, Miss Marjorie",2,1,1,1,1,1
"Cook, Mrs Selena Rogers",2,2,1,0,0,2
"Corbett, Mrs Walter H (Irene Colvin)",2,2,1,0,0,1
"Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller)",2,2,1,0,0,2
"Cotterill, Mr Harry",2,2,0,0,0,2
"Cunningham, Mr Alfred Fleming",2,2,0,0,0,2
"Davies, Mr Charles Henry",2,2,0,0,0,2
"Davis, Mrs Agnes",2,3,1,1,1,2
"Davis, Master John Morgan",2,1,0,1,1,2
"Davis, Miss Mary",2,2,1,1,1,2
"Deacon, Mr Percy",2,2,0,0,0,2
"de Brito, Mr Jose Joaquim",2,2,0,0,0,2
"del Carlo, Mr Sebastiano",2,2,0,0,1,2
"del Carlo, Mrs Sebastiano (Argenia Genovese)",2,2,1,1,1,2
"Denbury, Mr Herbert",2,2,0,0,0,2
"Dibden, Mr William",2,2,0,0,0,2
"Doling, Mrs Ada",2,3,1,1,1,2
"Doling, Miss Elsie",2,2,1,1,1,2
"Downton (?Douton), Mr William James",2,2,0,0,0,2
"Drew, Mr James Vivian",2,3,0,0,1,1
"Drew, Mrs James Vivian (Lulu Thorne Christian)",2,3,1,1,1,1
"Drew, Master Marshall Brines",2,1,0,1,1,1
"Duran y More, Miss Asuncion",2,2,1,1,1,2
"Duran y More, Miss Florentina",2,2,1,1,1,2
"Eitemiller, Mr George Floyd",2,2,0,0,0,2
"Enander, Mr Ingvar",2,2,0,0,0,2
"Fahlstrom, Mr Arne Jonas",2,2,0,0,0,2
"Faunthorpe, Mr Harry",2,2,0,0,1,2
"Faunthorpe, Mrs Lizzie (see Wilkinson, E)",2,2,1,1,1,2
"Fillbrook, Mr Charles",2,2,0,0,0,2
"Fox, Mr Stanley H",2,3,0,0,0,2
"Frost, Mr Anthony (Archie) W",2,2,0,0,0,2
"Funk, Miss Annie C",2,3,1,0,0,2
"Fynney, Mr Joseph J",2,3,0,0,0,2
"Gale, Mr Harry",2,3,0,0,1,2
"Gale, Mr Shadrach",2,3,0,0,1,2
"Garside, Miss Ethel",2,2,1,1,0,2
"Gaskell, Mr Alfred",2,2,0,0,0,2
"Gavey, Mr Lawrence",2,2,0,0,0,2
"Gilbert, Mr William",2,3,0,0,0,2
"Giles, Mr Edgar",2,2,0,0,1,2
"Giles, Mr Frederick",2,2,0,0,1,2
"Giles, Mr Ralph",2,2,0,0,1,2
"Gill, Mr John W",2,2,0,0,0,2
"Gillespie, Mr William",2,3,0,0,0,2
"Givard, Mr Hans Christensen",2,2,0,0,0,2
"Greenberg, Mr Samuel",2,3,0,0,0,2
"Hale, Mr Reginald",2,2,0,0,0,2
"Hamalainen, Mrs William (Anna)",2,2,1,1,1,2
"Hamalainen, Master Viljo",2,1,0,1,1,2
"Harbeck, Mr William H",2,3,0,0,0,2
"Harper, Rev John",2,2,0,0,1,3
"Harper, Miss Nina",2,1,1,1,1,2
"Harris, Mr George",2,2,0,1,1,2
"Harris, Mr Walter",2,2,0,0,1,2
"Hart, Mr Benjamin",2,3,0,0,1,2
"Hart, Mrs Benjamin (Esther)",2,3,1,1,1,2
"Hart, Miss Eva Miriam",2,1,1,1,1,2
"Herman, Miss Alice",2,2,1,1,1,2
"Herman, Miss Kate",2,2,1,1,1,2
"Herman, Mr Samuel",2,3,0,0,1,2
"Herman, Mrs Samuel (Jane Laver)",2,3,1,1,1,2
"Hewlett, Mrs Mary D",2,2,1,1,0,2
"Hickman, Mr Leonard Mark",2,3,0,0,1,2
"Hickman, Mr Lewis",2,3,0,0,1,2
"Hickman, Mr Stanley George",2,2,0,0,1,2
"Hiltunen, Miss Marta",2,2,1,0,0,2
"Hocking, Mrs Elizabeth",2,3,1,1,1,2
"Hocking, Mr George",2,2,0,0,1,2
"Hocking, Miss Ellen (Nellie)",2,2,1,1,1,2
"Hocking, Mr Samuel James",2,2,0,0,1,2
"Hodges, Mr Henry Price",2,3,0,0,0,2
"Hold, Mr Stephen",2,3,0,0,1,2
"Hold, Mrs Stephen (Annie Margaret)",2,3,1,1,1,2
"Hood, Mr Ambrose, Jr",2,2,0,0,0,2
"Hosono, Mr Masafumi",2,3,0,1,0,2
"Howard, Mr Benjamin",2,2,0,0,1,2
"Howard, Mrs Benjamin (Ellen Truelove)",2,2,1,0,1,2
"Hunt, Mr George Henry",2,3,0,0,0,2
"Ilett, Miss Bertha",2,2,1,1,0,2
"Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)",2,2,1,1,0,2
"Jarvis, Mr John Denzil",2,2,0,0,0,2
"Jefferys, Mr Clifford",2,2,0,0,1,2
"Jefferys, Mr Ernest",2,2,0,0,1,2
"Jenkin, Mr Stephen Curnow",2,2,0,0,0,2
"Jerwan, Mrs Amin S (Marie Thuillard)",2,2,1,1,0,2
"Kantor, Mr Sinai",2,3,0,0,1,2
"Kantor, Mrs Sinai (Miriam Sternim)",2,2,1,1,1,2
"Karnes, Mrs J Frank (Claire Bennett)",2,2,1,0,0,2
"Keane, Mr Daniel",2,2,0,0,1,2
"Keane, Miss Nora A",2,2,1,1,1,2
"Kelly, Mrs Florence (Fannie)",2,3,1,1,0,2
